TYPE  	 10 	  €¬п ®Ў  	  PID  
TYPE  	 10 	  winlogon  	  460  
TYPE  	 10 	  fontdrvhost  	  1060  
TYPE  	 10 	  dwm  	  1132  
TYPE  	 10 	  NVDisplay.Container  	  2424  
TYPE  	 10 	  sihost  	  644  
TYPE  	 10 	  svchost  	  4564  
TYPE  	 10 	  taskhostw  	  5172  
TYPE  	 10 	  rundll32  	  5816  
TYPE  	 10 	  StartMenuExperienceHost  	  6504  
TYPE  	 10 	  RuntimeBroker  	  6628  
TYPE  	 10 	  nvcontainer  	  2776  
TYPE  	 10 	  NVIDIA Web Helper  	  7032  
TYPE  	 10 	  conhost  	  3868  
TYPE  	 10 	  nvsphelper64  	  7660  
TYPE  	 10 	  NVIDIA Share  	  7688  
TYPE  	 10 	  RtkAudUService64  	  8188  
TYPE  	 10 	  eguiProxy  	  7860  
TYPE  	 10 	  Discord  	  7984  
TYPE  	 10 	  steam  	  8200  
TYPE  	 10 	  steamwebhelper  	  8428  
TYPE  	 10 	  msedge  	  7420  
TYPE  	 10 	  WebexHost  	  10840  
TYPE  	 10 	  atmgr  	  8016  
TYPE  	 10 	  jusched  	  11744  
TYPE  	 10 	  DeepL  	  11924  
TYPE  	 10 	  InputPersonalization  	  12076  
TYPE  	 10 	  CefSharp.BrowserSubprocess  	  12912  
TYPE  	 10 	  Code  	  2308  
TYPE  	 10 	  WindowsInternal.ComposableShell.Experiences.TextInput.InputApp  	  5540  
TYPE  	 10 	  ShellExperienceHost  	  3792  
TYPE  	 10 	  jucheck  	  9492  
TYPE  	 10 	  ApplicationFrameHost  	  2932  
TYPE  	 10 	  SystemSettings  	  5784  
TYPE  	 10 	  powershell  	  15680  
TYPE 	 20 	 €¬п ®Ў 	 PID 
TYPE 	 20 	 winlogon 	 460 
TYPE 	 20 	 fontdrvhost 	 1060 
TYPE 	 20 	 dwm 	 1132 
TYPE 	 20 	 NVDisplay.Container 	 2424 
TYPE 	 20 	 sihost 	 644 
TYPE 	 20 	 svchost 	 4564 
TYPE 	 20 	 taskhostw 	 5172 
TYPE 	 20 	 rundll32 	 5816 
TYPE 	 20 	 StartMenuExperienceHost 	 6504 
TYPE 	 20 	 RuntimeBroker 	 6628 
TYPE 	 20 	 nvcontainer 	 2776 
TYPE 	 20 	 NVIDIA Web Helper 	 7032 
TYPE 	 20 	 conhost 	 3868 
TYPE 	 20 	 nvsphelper64 	 7660 
TYPE 	 20 	 NVIDIA Share 	 7688 
TYPE 	 20 	 RtkAudUService64 	 8188 
TYPE 	 20 	 eguiProxy 	 7860 
TYPE 	 20 	 Discord 	 7984 
TYPE 	 20 	 steam 	 8200 
TYPE 	 20 	 steamwebhelper 	 8428 
TYPE 	 20 	 msedge 	 7420 
TYPE 	 20 	 WebexHost 	 10840 
TYPE 	 20 	 atmgr 	 8016 
TYPE 	 20 	 jusched 	 11744 
TYPE 	 20 	 DeepL 	 11924 
TYPE 	 20 	 InputPersonalization 	 12076 
TYPE 	 20 	 CefSharp.BrowserSubprocess 	 12912 
TYPE 	 20 	 Code 	 2308 
TYPE 	 20 	 WindowsInternal.ComposableShell.Experiences.TextInput.InputApp 	 5540 
TYPE 	 20 	 ShellExperienceHost 	 3792 
TYPE 	 20 	 jucheck 	 9492 
TYPE 	 20 	 ApplicationFrameHost 	 2932 
TYPE 	 20 	 SystemSettings 	 5784 
TYPE 	 20 	 powershell 	 15680 
