TYPE 	 29340 	 €¬п ®Ў 	 PID 
TYPE 	 29340 	 winlogon 	 1028 
TYPE 	 29340 	 fontdrvhost 	 1072 
TYPE 	 29340 	 dwm 	 1144 
TYPE 	 29340 	 NVDisplay.Container 	 2176 
TYPE 	 29340 	 rundll32 	 4600 
TYPE 	 29340 	 sihost 	 4624 
TYPE 	 29340 	 svchost 	 4656 
TYPE 	 29340 	 taskhostw 	 4328 
TYPE 	 29340 	 nvcontainer 	 5820 
TYPE 	 29340 	 StartMenuExperienceHost 	 6468 
TYPE 	 29340 	 RuntimeBroker 	 6656 
TYPE 	 29340 	 NVIDIA Web Helper 	 5172 
TYPE 	 29340 	 conhost 	 2004 
TYPE 	 29340 	 nvsphelper64 	 7516 
TYPE 	 29340 	 NVIDIA Share 	 7576 
TYPE 	 29340 	 RtkAudUService64 	 7896 
TYPE 	 29340 	 eguiProxy 	 5292 
TYPE 	 29340 	 Discord 	 8244 
TYPE 	 29340 	 msedge 	 9108 
TYPE 	 29340 	 WebexHost 	 10148 
TYPE 	 29340 	 atmgr 	 10236 
TYPE 	 29340 	 jusched 	 10584 
TYPE 	 29340 	 DeepL 	 10784 
TYPE 	 29340 	 CefSharp.BrowserSubprocess 	 9064 
TYPE 	 29340 	 ShellExperienceHost 	 12976 
TYPE 	 29340 	 ApplicationFrameHost 	 5324 
TYPE 	 29340 	 jucheck 	 11988 
TYPE 	 29340 	 Code 	 8656 
TYPE 	 29340 	 powershell 	 2412 
TYPE 	 29340 	 WindowsInternal.ComposableShell.Experiences.TextInput.InputApp 	 7884 
TYPE 	 29340 	 InputPersonalization 	 10808 
TYPE 	 15840 	 AdobeIPCBroker 	 6476 
TYPE 	 15840 	 CCLibrary 	 9308 
TYPE 	 15840 	 node 	 13004 
TYPE 	 2700 	 steam 	 12068 
TYPE 	 2700 	 steamwebhelper 	 12100 
TYPE 	 2580 	 Telegram 	 4176 
TYPE 	 1680 	 dynamiclinkmanager 	 6520 
TYPE 	 1680 	 TeamProjectsLocalHub 	 11968 
TYPE 	 1620 	 Adobe Premiere Pro 	 14940 
TYPE 	 1620 	 CEPHtmlEngine 	 12024 
TYPE 	 420 	 WLXPhotoGallery 	 5208 
TYPE 	 360 	 SystemSettings 	 15496 
TYPE 	 300 	 CompPkgSrv 	 10196 
TYPE 	 120 	 notepad 	 6432 
TYPE 	 0 	 Updater 	 8932 
TYPE 	 0 	 vulkandriverquery 	 11004 
