TYPE  	 6300 	  €¬п ®Ў  	  PID  
Tool  	 6300 	  NVDisplay.Container  	  2176  
Tool  	 6300 	  StartMenuExperienceHost  	  6468  
Code  	 6300 	  RuntimeBroker  	  6656  
Social Network  	 6300 	  Discord  	  8244  
Browser  	 6300 	  msedge  	  9108  
Tool  	 6300 	  DeepL  	  10784  
Code  	 6300 	  ShellExperienceHost  	  12976  
Code  	 6300 	  ApplicationFrameHost  	  5324  
Game  	 6300 	  WindowsInternal.ComposableShell.Experiences.TextInput.InputApp  	  7884  
Tool  	 6300 	  node  	  13004  
Entartainment  	 6300 	  steam  	  15276  
Code  	 6300 	  Code  	  7992  
Learning  	 6120 	  chrome  	  15548  
TYPE 	 4680 	 €¬п ®Ў 	 PID 
Tool 	 4680 	 NVDisplay.Container 	 2176 
Tool 	 4680 	 StartMenuExperienceHost 	 6468 
Code 	 4680 	 RuntimeBroker 	 6656 
Social Network 	 4680 	 Discord 	 8244 
Browser 	 4680 	 msedge 	 9108 
Tool 	 4680 	 DeepL 	 10784 
Code 	 4680 	 ShellExperienceHost 	 12976 
Code 	 4680 	 ApplicationFrameHost 	 5324 
Game 	 4680 	 WindowsInternal.ComposableShell.Experiences.TextInput.InputApp 	 7884 
Tool 	 4680 	 node 	 13004 
Entartainment 	 4680 	 steam 	 15276 
Code 	 4680 	 Code 	 7992 
TYPE    	 3300 	    €¬п ®Ў    	    PID    
Tool    	 3300 	    NVDisplay.Container    	    2176    
Tool    	 3300 	    StartMenuExperienceHost    	    6468    
Code    	 3300 	    RuntimeBroker    	    6656    
Social Network    	 3300 	    Discord    	    8244    
Browser    	 3300 	    msedge    	    9108    
Tool    	 3300 	    DeepL    	    10784    
Code    	 3300 	    ShellExperienceHost    	    12976    
Code    	 3300 	    ApplicationFrameHost    	    5324    
Code    	 3300 	    Code    	    8656    
Game    	 3300 	    WindowsInternal.ComposableShell.Experiences.TextInput.InputApp    	    7884    
Tool    	 3300 	    node    	    13004    
Entartainment    	 3300 	    steam    	    15276    
Social Network    	 3060 	    Telegram    	    4648    
Tool    	 2580 	    notepad    	    13684    
Social Network  	 1200 	  Telegram  	  4648  
TYPE   	 60 	   €¬п ®Ў   	   PID   
Tool   	 60 	   NVDisplay.Container   	   2176   
Tool   	 60 	   StartMenuExperienceHost   	   6468   
Code   	 60 	   RuntimeBroker   	   6656   
Social Network   	 60 	   Discord   	   8244   
Browser   	 60 	   msedge   	   9108   
Tool   	 60 	   DeepL   	   10784   
Code   	 60 	   ShellExperienceHost   	   12976   
Code   	 60 	   ApplicationFrameHost   	   5324   
Game   	 60 	   WindowsInternal.ComposableShell.Experiences.TextInput.InputApp   	   7884   
Tool   	 60 	   node   	   13004   
Entartainment   	 60 	   steam   	   15276   
Social Network   	 60 	   Telegram   	   4648   
Code   	 60 	   Code   	   7992   
Tool  	 0 	  notepad  	  9856  
Game  	 0 	  mspaint  	  10288  
Code 	 0 	 git 	 9900 
